                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.59672,                0.44458,                0.93451,                0.93469,                0.96967,                0.95412,                0.79836,                0.70299,                0.51982,                0.95765,             0.00055303,             0.00055303,             0.00055303
                     84,                0.61116,                0.45422,                0.93601,                0.93656,                0.97593,                0.95235,                 0.7896,                0.72062,                 0.5386,                0.97219,             0.00053927,             0.00053927,             0.00053927
                     85,                0.54939,                0.44782,                0.94025,                0.93476,                0.96619,                0.95158,                0.79066,                0.71838,                 0.5279,                0.96715,             0.00052552,             0.00052552,             0.00052552
                     86,                0.57159,                0.43875,                0.92052,                0.93699,                0.97593,                0.95196,                0.79487,                0.72268,                0.53242,                0.96718,             0.00051177,             0.00051177,             0.00051177
                     87,                0.64813,                0.47975,                0.96838,                0.93425,                0.96799,                0.95593,                0.77898,                0.75342,                0.52848,                0.97393,             0.00049802,             0.00049802,             0.00049802
                     88,                0.60703,                0.44916,                0.93231,                0.93705,                0.96855,                0.95576,                0.78726,                0.73717,                0.52458,                0.97781,             0.00048426,             0.00048426,             0.00048426
                     89,                0.58045,                0.43141,                0.94034,                0.95265,                0.97593,                0.95351,                0.79001,                0.71888,                0.52452,                0.97936,             0.00047051,             0.00047051,             0.00047051
                     90,                0.55871,                0.43511,                0.92306,                0.94373,                0.96799,                0.95344,                0.79618,                0.70136,                0.51758,                0.95995,             0.00045676,             0.00045676,             0.00045676
                     91,                0.67475,                0.51023,                 0.9557,                0.94668,                0.96799,                0.94682,                0.78864,                0.71975,                 0.5153,                0.95159,             0.00044301,             0.00044301,             0.00044301
                     92,                0.62307,                 0.4536,                0.93542,                0.92658,                0.95212,                0.94515,                0.79029,                0.72552,                 0.5293,                0.95228,             0.00042925,             0.00042925,             0.00042925
                     93,                0.56651,                0.43874,                0.94083,                0.92282,                0.95212,                0.94168,                0.79559,                0.70289,                0.51434,                  0.946,              0.0004155,              0.0004155,              0.0004155
                     94,                 0.6369,                 0.4589,                0.98094,                0.92724,                0.97593,                0.95198,                0.79555,                0.68285,                0.47803,                0.94746,             0.00040175,             0.00040175,             0.00040175
                     95,                0.54254,                0.42759,                0.91762,                0.93195,                0.97593,                0.95274,                0.79598,                0.67193,                0.47441,                0.93706,             0.00038799,             0.00038799,             0.00038799
